,louvain,cell type
"CD-0722-1_A1,A5",0,B-NK
"CD-0722-1_A1,C6",1,Unk=HSC
"CD-0722-1_A1,E3",4,HSC
"CD-0722-1_A1,H10",1,Unk=HSC
"CD-0722-1_A2,A7",1,Unk=HSC
"CD-0722-1_A2,B7",7,MEP
"CD-0722-1_A2,C12",1,Unk=HSC
"CD-0722-1_A2,D12",0,B-NK
"CD-0722-1_A2,E9",6,LMPP
"CD-0722-1_A2,G8",4,HSC
"CD-0722-1_A2,G10",3,MPP
"CD-0722-1_A3,C5",0,B-NK
"CD-0722-1_A3,D3",5,Unk=5
"CD-0722-1_A3,D10",1,Unk=HSC
"CD-0722-1_A3,D11",6,LMPP
"CD-0722-1_A3,F7",5,Unk=5
"CD-0722-1_A4,A8",1,Unk=HSC
"CD-0722-1_A4,A11",5,Unk=5
"CD-0722-1_A4,F1",0,B-NK
"CD-0722-1_A4,H1",3,MPP
"CD-0722-1_A4,H3",0,B-NK
"CD-0722-1_A5,A1",4,HSC
"CD-0722-1_A5,A7",0,B-NK
"CD-0722-1_A5,C5",4,HSC
"CD-0722-1_A5,C8",4,HSC
"CD-0722-1_A5,E1",6,LMPP
"CD-0722-1_A5,E9",1,Unk=HSC
"CD-0722-1_A5,F7",5,Unk=5
"CD-0722-1_A5,H12",6,LMPP
"CD-0722-1_A6,A1",5,Unk=5
"CD-0722-1_A6,C5",2,Unk=2
"CD-0722-1_A6,D8",5,Unk=5
"CD-0722-1_A6,G1",0,B-NK
"CD-0722-1_A6,G12",1,Unk=HSC
"CD-0722-1_A6,H12",2,Unk=2
"CD-0722-1_A7,B9",2,Unk=2
"CD-0722-1_A7,D5",2,Unk=2
"CD-0722-1_A7,E10",9,MLP
"CD-0722-1_A7,H6",4,HSC
"CD-0722-1_A8,C9",1,Unk=HSC
"CD-0722-1_A8,D1",2,Unk=2
"CD-0722-1_A8,E12",4,HSC
"CD-0722-1_A8,G8",0,B-NK
"CD-0722-1_A8,H3",0,B-NK
"CD-0722-1_A8,H5",3,MPP
"CD-0722-1_A9,C1",2,Unk=2
"CD-0722-1_A9,C2",1,Unk=HSC
"CD-0722-1_A9,C8",0,B-NK
"CD-0722-1_A9,E7",6,LMPP
"CD-0722-1_A9,F5",1,Unk=HSC
"CD-0722-1_A9,G12",7,MEP
"CD-0722-1_A10,E4",6,LMPP
"CD-0722-1_A10,E8",0,B-NK
"CD-0722-1_A10,E9",4,HSC
"CD-0722-1_A10,G1",9,MLP
"CD-0722-1_A10,G8",3,MPP
"CD-0722-1_A10,H12",6,LMPP
"CD-0722-1_A11,A11",1,Unk=HSC
"CD-0722-1_A11,B5",3,MPP
"CD-0722-1_A11,C3",8,Unk=B-NK
"CD-0722-1_A11,D12",6,LMPP
"CD-0722-1_A11,G9",6,LMPP
"CD-0722-1_A12,D6",4,HSC
"CD-0722-1_A12,D8",5,Unk=5
"CD-0722-1_A12,E3",3,MPP
"CD-0722-1_A12,H10",2,Unk=2
"CD-0722-1_A12,H12",4,HSC
"CD-0722-1_B1,A1",5,Unk=5
"CD-0722-1_B1,A9",3,MPP
"CD-0722-1_B1,D12",0,B-NK
"CD-0722-1_B1,E1",1,Unk=HSC
"CD-0722-1_B1,E10",7,MEP
"CD-0722-1_B1,E12",3,MPP
"CD-0722-1_B1,F1",5,Unk=5
"CD-0722-1_B1,F7",2,Unk=2
"CD-0722-1_B1,H1",2,Unk=2
"CD-0722-1_B2,B6",5,Unk=5
"CD-0722-1_B2,C3",5,Unk=5
"CD-0722-1_B2,C6",5,Unk=5
"CD-0722-1_B2,D1",2,Unk=2
"CD-0722-1_B2,D9",7,MEP
"CD-0722-1_B2,F3",1,Unk=HSC
"CD-0722-1_B3,A1",1,Unk=HSC
"CD-0722-1_B3,A11",8,Unk=B-NK
"CD-0722-1_B3,B12",7,MEP
"CD-0722-1_B3,E1",0,B-NK
"CD-0722-1_B3,E3",0,B-NK
"CD-0722-1_B4,D9",7,MEP
"CD-0722-1_B4,E6",2,Unk=2
"CD-0722-1_B4,F6",3,MPP
"CD-0722-1_B4,F10",6,LMPP
"CD-0722-1_B5,E9",0,B-NK
"CD-0722-1_B5,F1",8,Unk=B-NK
"CD-0722-1_B5,H12",1,Unk=HSC
"CD-0722-1_B6,E12",5,Unk=5
"CD-0722-1_B6,F5",9,MLP
"CD-0722-1_B6,G12",4,HSC
"CD-0722-1_B7,A3",6,LMPP
"CD-0722-1_B7,A7",8,Unk=B-NK
"CD-0722-1_B7,A9",5,Unk=5
"CD-0722-1_B7,D7",1,Unk=HSC
"CD-0722-1_B7,E2",2,Unk=2
"CD-0722-1_B7,E3",7,MEP
"CD-0722-1_B7,E10",3,MPP
"CD-0722-1_B7,F5",5,Unk=5
"CD-0722-1_B8,A7",3,MPP
"CD-0722-1_B8,C8",0,B-NK
"CD-0722-1_B8,D4",5,Unk=5
"CD-0722-1_B9,D2",5,Unk=5
"CD-0722-1_B9,E1",6,LMPP
"CD-0722-1_B9,E6",7,MEP
"CD-0722-1_B10,B12",3,MPP
"CD-0722-1_B10,C5",1,Unk=HSC
"CD-0722-1_B10,E4",4,HSC
"CD-0722-1_B10,G9",1,Unk=HSC
"CD-0722-1_B11,A4",5,Unk=5
"CD-0722-1_B11,B12",1,Unk=HSC
"CD-0722-1_B11,C1",2,Unk=2
"CD-0722-1_B11,D9",1,Unk=HSC
"CD-0722-1_B11,E5",0,B-NK
"CD-0722-1_B11,E6",0,B-NK
"CD-0722-1_B12,A10",2,Unk=2
"CD-0722-1_B12,C10",9,MLP
"CD-0722-1_C1,A8",1,Unk=HSC
"CD-0722-1_C1,B9",5,Unk=5
"CD-0722-1_C1,D9",4,HSC
"CD-0722-1_C1,D10",3,MPP
"CD-0722-1_C1,E7",5,Unk=5
"CD-0722-1_C1,F3",2,Unk=2
"CD-0722-1_C1,H12",0,B-NK
"CD-0722-1_C2,A12",0,B-NK
"CD-0722-1_C2,E7",0,B-NK
"CD-0722-1_C2,E10",4,HSC
"CD-0722-1_C2,F2",1,Unk=HSC
"CD-0722-1_C2,G2",2,Unk=2
"CD-0722-1_C2,G10",6,LMPP
"CD-0722-1_C3,A1",1,Unk=HSC
"CD-0722-1_C3,A5",6,LMPP
"CD-0722-1_C3,C5",5,Unk=5
"CD-0722-1_C3,F5",0,B-NK
"CD-0722-1_C3,F7",0,B-NK
"CD-0722-1_C4,A2",7,MEP
"CD-0722-1_C4,B10",2,Unk=2
"CD-0722-1_C4,E1",6,LMPP
"CD-0722-1_C4,E9",0,B-NK
"CD-0722-1_C4,G2",5,Unk=5
"CD-0722-1_C4,G3",7,MEP
"CD-0722-1_C4,H5",0,B-NK
"CD-0722-1_C5,A4",2,Unk=2
"CD-0722-1_C5,C4",2,Unk=2
"CD-0722-1_C5,C9",2,Unk=2
"CD-0722-1_C5,D3",3,MPP
"CD-0722-1_C5,F4",5,Unk=5
"CD-0722-1_C6,C5",2,Unk=2
"CD-0722-1_C6,E4",3,MPP
"CD-0722-1_C6,H2",1,Unk=HSC
"CD-0722-1_C6,H5",1,Unk=HSC
"CD-0722-1_C6,H12",5,Unk=5
"CD-0722-1_C7,B2",5,Unk=5
"CD-0722-1_C7,C3",2,Unk=2
"CD-0722-1_C7,D3",2,Unk=2
"CD-0722-1_C7,D11",0,B-NK
"CD-0722-1_C7,F1",4,HSC
"CD-0722-1_C7,F10",1,Unk=HSC
"CD-0722-1_C7,G12",0,B-NK
"CD-0722-1_C7,H9",6,LMPP
"CD-0722-1_C8,A5",3,MPP
"CD-0722-1_C9,A1",1,Unk=HSC
"CD-0722-1_C9,D8",8,Unk=B-NK
"CD-0722-1_C9,D11",4,HSC
"CD-0722-1_C9,E10",4,HSC
"CD-0722-1_C9,E12",2,Unk=2
"CD-0722-1_C9,F7",5,Unk=5
"CD-0722-1_C9,G9",6,LMPP
"CD-0722-1_C9,H12",2,Unk=2
"CD-0722-1_C10,A6",4,HSC
"CD-0722-1_C10,B5",2,Unk=2
"CD-0722-1_C10,B9",2,Unk=2
"CD-0722-1_C10,C8",5,Unk=5
"CD-0722-1_C10,E1",4,HSC
"CD-0722-1_C10,E3",6,LMPP
"CD-0722-1_C10,E10",9,MLP
"CD-0722-1_C10,G11",6,LMPP
"CD-0722-1_C11,B4",2,Unk=2
"CD-0722-1_C11,C7",2,Unk=2
"CD-0722-1_C11,E3",3,MPP
"CD-0722-1_C12,B6",1,Unk=HSC
"CD-0722-1_C12,G7",6,LMPP
"CD-0722-1_C12,G10",0,B-NK
"CD-0722-1_D1,C12",1,Unk=HSC
"CD-0722-1_D1,E10",5,Unk=5
"CD-0722-1_D1,H10",0,B-NK
"CD-0722-1_D1,H12",3,MPP
"CD-0722-1_D2,A1",3,MPP
"CD-0722-1_D2,B12",0,B-NK
"CD-0722-1_D2,C9",6,LMPP
"CD-0722-1_D2,D3",1,Unk=HSC
"CD-0722-1_D2,F4",2,Unk=2
"CD-0722-1_D3,B2",2,Unk=2
"CD-0722-1_D3,B9",8,Unk=B-NK
"CD-0722-1_D3,C8",2,Unk=2
"CD-0722-1_D3,C12",2,Unk=2
"CD-0722-1_D3,D1",2,Unk=2
"CD-0722-1_D3,D4",6,LMPP
"CD-0722-1_D4,A3",1,Unk=HSC
"CD-0722-1_D4,B4",2,Unk=2
"CD-0722-1_D4,D1",2,Unk=2
"CD-0722-1_D4,D3",2,Unk=2
"CD-0722-1_D4,E2",9,MLP
"CD-0722-1_D4,E8",0,B-NK
"CD-0722-1_D4,G3",3,MPP
"CD-0722-1_D5,B4",2,Unk=2
"CD-0722-1_D5,B10",2,Unk=2
"CD-0722-1_D5,C4",6,LMPP
"CD-0722-1_D5,C7",2,Unk=2
"CD-0722-1_D5,E2",4,HSC
"CD-0722-1_D5,F2",3,MPP
"CD-0722-1_D5,F11",5,Unk=5
"CD-0722-1_D5,G3",4,HSC
"CD-0722-1_D6,C5",5,Unk=5
"CD-0722-1_D6,C8",3,MPP
"CD-0722-1_D6,F10",6,LMPP
"CD-0722-1_D6,G9",0,B-NK
"CD-0722-1_D6,H5",1,Unk=HSC
"CD-0722-1_D7,A2",9,MLP
"CD-0722-1_D7,C1",5,Unk=5
"CD-0722-1_D7,E5",3,MPP
"CD-0722-1_D7,E12",8,Unk=B-NK
"CD-0722-1_D7,H12",3,MPP
"CD-0722-1_D8,A3",0,B-NK
"CD-0722-1_D8,A5",6,LMPP
"CD-0722-1_D8,F10",4,HSC
"CD-0722-1_D9,C8",9,MLP
"CD-0722-1_D9,D5",1,Unk=HSC
"CD-0722-1_D9,F11",4,HSC
"CD-0722-1_D10,B5",1,Unk=HSC
"CD-0722-1_D10,E10",7,MEP
"CD-0722-1_D10,G10",0,B-NK
"CD-0722-1_D11,A8",3,MPP
"CD-0722-1_D11,A12",4,HSC
"CD-0722-1_D12,A5",0,B-NK
"CD-0722-1_D12,A11",5,Unk=5
"CD-0722-1_D12,C1",2,Unk=2
"CD-0722-1_D12,F10",5,Unk=5
"CD-0722-1_D12,H2",3,MPP
"CD-0722-1_D12,H6",3,MPP
"CD-0722-1_E1,A5",9,MLP
"CD-0722-1_E1,A12",5,Unk=5
"CD-0722-1_E1,C3",2,Unk=2
"CD-0722-1_E1,C8",1,Unk=HSC
"CD-0722-1_E1,D6",6,LMPP
"CD-0722-1_E1,E8",4,HSC
"CD-0722-1_E2,A7",3,MPP
"CD-0722-1_E2,C1",2,Unk=2
"CD-0722-1_E2,C5",7,MEP
"CD-0722-1_E2,F2",0,B-NK
"CD-0722-1_E2,F11",2,Unk=2
"CD-0722-1_E3,A1",3,MPP
"CD-0722-1_E3,A5",5,Unk=5
"CD-0722-1_E3,B8",2,Unk=2
"CD-0722-1_E3,E4",6,LMPP
"CD-0722-1_E4,A3",1,Unk=HSC
"CD-0722-1_E4,A6",1,Unk=HSC
"CD-0722-1_E4,B7",7,MEP
"CD-0722-1_E4,C10",3,MPP
"CD-0722-1_E4,C11",2,Unk=2
"CD-0722-1_E4,D9",6,LMPP
"CD-0722-1_E4,E1",3,MPP
"CD-0722-1_E4,F2",0,B-NK
"CD-0722-1_E4,F7",5,Unk=5
"CD-0722-1_E4,G10",5,Unk=5
"CD-0722-1_E5,B8",4,HSC
"CD-0722-1_E5,C6",5,Unk=5
"CD-0722-1_E5,C11",7,MEP
"CD-0722-1_E5,D6",7,MEP
"CD-0722-1_E5,D9",4,HSC
"CD-0722-1_E5,G9",4,HSC
"CD-0722-1_E5,H5",6,LMPP
"CD-0722-1_E6,C9",6,LMPP
"CD-0722-1_E7,B5",9,MLP
"CD-0722-1_E7,B8",3,MPP
"CD-0722-1_E7,C6",5,Unk=5
"CD-0722-1_E7,D6",5,Unk=5
"CD-0722-1_E7,E10",7,MEP
"CD-0722-1_E8,C1",8,Unk=B-NK
"CD-0722-1_E8,C3",2,Unk=2
"CD-0722-1_E8,C6",4,HSC
"CD-0722-1_E8,C7",2,Unk=2
"CD-0722-1_E8,G2",2,Unk=2
"CD-0722-1_E9,A3",1,Unk=HSC
"CD-0722-1_E9,C11",3,MPP
"CD-0722-1_E9,E2",0,B-NK
"CD-0722-1_E9,H3",3,MPP
"CD-0722-1_E10,B4",3,MPP
"CD-0722-1_E10,B5",5,Unk=5
"CD-0722-1_E10,B12",5,Unk=5
"CD-0722-1_E10,D4",6,LMPP
"CD-0722-1_E10,E9",0,B-NK
"CD-0722-1_E10,E12",3,MPP
"CD-0722-1_E10,G11",1,Unk=HSC
"CD-0722-1_E11,A7",6,LMPP
"CD-0722-1_E11,C8",4,HSC
"CD-0722-1_E11,D2",4,HSC
"CD-0722-1_E11,F1",5,Unk=5
"CD-0722-1_E12,D5",0,B-NK
"CD-0722-1_E12,F9",4,HSC
"CD-0722-1_F1,A6",1,Unk=HSC
"CD-0722-1_F1,D11",0,B-NK
"CD-0722-1_F1,E8",7,MEP
"CD-0722-1_F1,G9",7,MEP
"CD-0722-1_F2,A1",6,LMPP
"CD-0722-1_F2,D9",3,MPP
"CD-0722-1_F2,E12",5,Unk=5
"CD-0722-1_F3,B4",7,MEP
"CD-0722-1_F3,C1",1,Unk=HSC
"CD-0722-1_F3,E9",4,HSC
"CD-0722-1_F3,E12",7,MEP
"CD-0722-1_F3,F2",3,MPP
"CD-0722-1_F4,B5",2,Unk=2
"CD-0722-1_F4,D4",8,Unk=B-NK
"CD-0722-1_F4,E4",3,MPP
"CD-0722-1_F4,E12",8,Unk=B-NK
"CD-0722-1_F5,B1",6,LMPP
"CD-0722-1_F5,C2",1,Unk=HSC
"CD-0722-1_F5,D7",6,LMPP
"CD-0722-1_F5,E5",3,MPP
"CD-0722-1_F5,E6",2,Unk=2
"CD-0722-1_F5,G2",5,Unk=5
"CD-0722-1_F6,B9",5,Unk=5
"CD-0722-1_F6,D9",2,Unk=2
"CD-0722-1_F6,E6",0,B-NK
"CD-0722-1_F6,E10",0,B-NK
"CD-0722-1_F6,F3",9,MLP
"CD-0722-1_F6,G7",0,B-NK
"CD-0722-1_F6,G11",3,MPP
"CD-0722-1_F6,H6",3,MPP
"CD-0722-1_F7,A2",8,Unk=B-NK
"CD-0722-1_F7,C2",1,Unk=HSC
"CD-0722-1_F7,C12",0,B-NK
"CD-0722-1_F7,D5",5,Unk=5
"CD-0722-1_F7,D10",2,Unk=2
"CD-0722-1_F7,E3",6,LMPP
"CD-0722-1_F7,E7",4,HSC
"CD-0722-1_F7,E12",8,Unk=B-NK
"CD-0722-1_F8,A9",1,Unk=HSC
"CD-0722-1_F8,C12",3,MPP
"CD-0722-1_F8,F3",4,HSC
"CD-0722-1_F8,F7",2,Unk=2
"CD-0722-1_F9,B7",5,Unk=5
"CD-0722-1_F9,C6",7,MEP
"CD-0722-1_F9,D7",0,B-NK
"CD-0722-1_F9,E3",1,Unk=HSC
"CD-0722-1_F10,B1",3,MPP
"CD-0722-1_F10,C9",3,MPP
"CD-0722-1_F10,D2",0,B-NK
"CD-0722-1_F10,D4",0,B-NK
"CD-0722-1_F10,G5",8,Unk=B-NK
"CD-0722-1_F11,A4",8,Unk=B-NK
"CD-0722-1_F11,B6",5,Unk=5
"CD-0722-1_F11,C3",2,Unk=2
"CD-0722-1_F11,E9",0,B-NK
"CD-0722-1_F11,F6",1,Unk=HSC
"CD-0722-1_F11,G9",8,Unk=B-NK
"CD-0722-1_F12,E3",0,B-NK
"CD-0722-1_F12,E12",3,MPP
"CD-0722-1_F12,F7",1,Unk=HSC
"CD-0722-1_F12,G1",0,B-NK
"CD-0722-1_G1,C3",3,MPP
"CD-0722-1_G1,D9",2,Unk=2
"CD-0722-1_G2,B3",3,MPP
"CD-0722-1_G2,F10",1,Unk=HSC
"CD-0722-1_G2,G8",6,LMPP
"CD-0722-1_G2,H6",6,LMPP
"CD-0722-1_G3,D11",6,LMPP
"CD-0722-1_G3,E9",3,MPP
"CD-0722-1_G3,F4",5,Unk=5
"CD-0722-1_G3,F5",5,Unk=5
"CD-0722-1_G3,F6",4,HSC
"CD-0722-1_G4,C4",1,Unk=HSC
"CD-0722-1_G4,C7",2,Unk=2
"CD-0722-1_G4,E2",3,MPP
"CD-0722-1_G4,E4",7,MEP
"CD-0722-1_G4,F11",3,MPP
"CD-0722-1_G4,H10",0,B-NK
"CD-0722-1_G5,D3",2,Unk=2
"CD-0722-1_G5,F10",8,Unk=B-NK
"CD-0722-1_G5,G5",1,Unk=HSC
"CD-0722-1_G5,H3",1,Unk=HSC
"CD-0722-1_G6,B1",5,Unk=5
"CD-0722-1_G6,G7",3,MPP
"CD-0722-1_G7,A2",1,Unk=HSC
"CD-0722-1_G7,D1",5,Unk=5
"CD-0722-1_G7,G7",6,LMPP
"CD-0722-1_G8,B12",5,Unk=5
"CD-0722-1_G8,D9",1,Unk=HSC
"CD-0722-1_G8,F5",1,Unk=HSC
"CD-0722-1_G8,G10",4,HSC
"CD-0722-1_G9,A6",3,MPP
"CD-0722-1_G9,B12",4,HSC
"CD-0722-1_G9,C3",2,Unk=2
"CD-0722-1_G9,C6",4,HSC
"CD-0722-1_G9,C11",4,HSC
"CD-0722-1_G9,C12",1,Unk=HSC
"CD-0722-1_G9,D3",1,Unk=HSC
"CD-0722-1_G9,D8",3,MPP
"CD-0722-1_G9,E11",3,MPP
"CD-0722-1_G9,E12",1,Unk=HSC
"CD-0722-1_G10,A1",1,Unk=HSC
"CD-0722-1_G10,A2",7,MEP
"CD-0722-1_G10,D4",2,Unk=2
"CD-0722-1_G10,E1",3,MPP
"CD-0722-1_G10,F7",0,B-NK
"CD-0722-1_G11,A6",5,Unk=5
"CD-0722-1_G11,A7",1,Unk=HSC
"CD-0722-1_G11,B1",3,MPP
"CD-0722-1_G11,C4",4,HSC
"CD-0722-1_G11,C8",0,B-NK
"CD-0722-1_G11,E7",1,Unk=HSC
"CD-0722-1_G11,E10",6,LMPP
"CD-0722-1_G12,E9",0,B-NK
"CD-0722-1_G12,F1",3,MPP
"CD-0722-1_G12,F6",0,B-NK
"CD-0722-1_G12,G7",1,Unk=HSC
"CD-0722-1_H1,B7",7,MEP
"CD-0722-1_H1,D4",2,Unk=2
"CD-0722-1_H1,D8",3,MPP
"CD-0722-1_H1,F2",0,B-NK
"CD-0722-1_H1,F6",3,MPP
"CD-0722-1_H1,G11",1,Unk=HSC
"CD-0722-1_H1,G12",3,MPP
"CD-0722-1_H2,D3",1,Unk=HSC
"CD-0722-1_H2,D12",3,MPP
"CD-0722-1_H2,E5",6,LMPP
"CD-0722-1_H2,F9",1,Unk=HSC
"CD-0722-1_H3,A5",5,Unk=5
"CD-0722-1_H3,C6",0,B-NK
"CD-0722-1_H4,A11",7,MEP
"CD-0722-1_H4,C7",2,Unk=2
"CD-0722-1_H4,D8",2,Unk=2
"CD-0722-1_H4,D11",0,B-NK
"CD-0722-1_H4,F2",5,Unk=5
"CD-0722-1_H4,G5",3,MPP
"CD-0722-1_H5,B3",2,Unk=2
"CD-0722-1_H5,E3",4,HSC
"CD-0722-1_H5,E10",0,B-NK
"CD-0722-1_H6,A3",3,MPP
"CD-0722-1_H6,A9",3,MPP
"CD-0722-1_H6,C12",8,Unk=B-NK
"CD-0722-1_H6,F3",1,Unk=HSC
"CD-0722-1_H6,G3",1,Unk=HSC
"CD-0722-1_H6,G9",6,LMPP
"CD-0722-1_H6,G10",6,LMPP
"CD-0722-1_H6,H8",1,Unk=HSC
"CD-0722-1_H7,A5",5,Unk=5
"CD-0722-1_H7,C9",2,Unk=2
"CD-0722-1_H7,D8",2,Unk=2
"CD-0722-1_H7,H10",3,MPP
"CD-0722-1_H7,H12",1,Unk=HSC
"CD-0722-1_H8,C8",3,MPP
"CD-0722-1_H8,E3",5,Unk=5
"CD-0722-1_H8,H5",3,MPP
"CD-0722-1_H9,D3",2,Unk=2
"CD-0722-1_H9,D11",0,B-NK
"CD-0722-1_H9,F5",2,Unk=2
"CD-0722-1_H9,F6",3,MPP
"CD-0722-1_H9,G3",7,MEP
"CD-0722-1_H9,H9",0,B-NK
"CD-0722-1_H9,H10",1,Unk=HSC
"CD-0722-1_H10,C2",5,Unk=5
"CD-0722-1_H10,D12",6,LMPP
"CD-0722-1_H10,G10",2,Unk=2
"CD-0722-1_H10,G12",0,B-NK
"CD-0722-1_H10,H5",0,B-NK
"CD-0722-1_H11,B2",8,Unk=B-NK
"CD-0722-1_H11,D8",5,Unk=5
"CD-0722-1_H11,H8",8,Unk=B-NK
"CD-0722-1_H12,A2",5,Unk=5
"CD-0722-1_H12,A9",3,MPP
"CD-0722-1_H12,B6",3,MPP
"CD-0722-1_H12,B8",5,Unk=5
